campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,date_start,date_stop,impressions,reach,frequency,spend,clicks,link_clicks,outbound_clicks,landing_page_views,adds_to_cart,initiated_checkouts,purchases,purchase_conversion_value,leads,ctr,cpc,cpm,video_3s_plays,video_thruplay,messaging_conversations_started,post_shares,post_saves,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
Summer Sale 2024,camp_001,Women 25-34,adset_001,Product A - Video,ad_001,2024-07-01,2024-07-31,150000,95000,1.58,4500.00,3200,2800,2100,1680,420,252,126,18900.00,0,2.13,1.41,30.00,45000,9000,0,85,210,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE
Summer Sale 2024,camp_001,Women 25-34,adset_001,Product A - Static,ad_002,2024-07-01,2024-07-31,120000,80000,1.50,3800.00,2400,2100,1600,1200,300,180,90,13500.00,0,2.00,1.58,31.67,0,0,0,45,120,AVERAGE,ABOVE_AVERAGE,AVERAGE
Summer Sale 2024,camp_001,Men 25-44,adset_002,Product B - Carousel,ad_003,2024-07-01,2024-07-31,200000,110000,1.82,6200.00,3600,3100,2300,1700,380,190,95,14250.00,0,1.80,1.72,31.00,0,0,0,62,95,ABOVE_AVERAGE,AVERAGE,AVERAGE
WhatsApp Orders,camp_002,Custom Audience,adset_003,Message Ad - Pharma,ad_004,2024-07-01,2024-07-31,80000,55000,1.45,2800.00,2200,1900,1400,0,0,0,0,0.00,85,2.75,1.27,35.00,24000,6000,320,20,55,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE
WhatsApp Orders,camp_002,Lookalike 1%,adset_004,Message Ad - Beauty,ad_005,2024-07-01,2024-07-31,95000,68000,1.40,3100.00,2800,2400,1800,0,0,0,0,0.00,110,2.95,1.11,32.63,28000,5600,410,35,72,ABOVE_AVERAGE,ABOVE_AVERAGE,AVERAGE
Lead Gen,camp_003,Interest Targeting,adset_005,Lead Form - Skincare,ad_006,2024-07-01,2024-07-31,180000,120000,1.50,5500.00,4200,3600,2700,2160,540,270,108,16200.00,220,2.33,1.31,30.56,54000,10800,0,75,180,AVERAGE,AVERAGE,ABOVE_AVERAGE
Retargeting,camp_004,Website Visitors,adset_006,Retarget - Cart,ad_007,2024-07-01,2024-07-31,45000,12000,3.75,2200.00,1800,1600,1200,960,384,230,138,20700.00,0,4.00,1.22,48.89,0,0,0,15,42,BELOW_AVERAGE_10,AVERAGE,ABOVE_AVERAGE
Retargeting,camp_004,Engaged Users,adset_007,Retarget - Viewed,ad_008,2024-07-01,2024-07-31,60000,18000,3.33,2800.00,2100,1800,1350,1080,324,194,97,14550.00,0,3.50,1.33,46.67,0,0,0,22,38,BELOW_AVERAGE_10,BELOW_AVERAGE_10,AVERAGE
Brand Awareness,camp_005,Broad Targeting,adset_008,Video Explainer,ad_009,2024-07-01,2024-07-31,500000,350000,1.43,8000.00,5000,4200,3100,2170,434,217,87,8700.00,0,1.00,1.60,16.00,200000,50000,0,250,680,ABOVE_AVERAGE,ABOVE_AVERAGE,AVERAGE
Brand Awareness,camp_005,Broad Targeting,adset_008,Testimonial UGC,ad_010,2024-07-01,2024-07-31,420000,290000,1.45,7200.00,4800,4000,2900,2030,406,203,81,8100.00,0,1.14,1.50,17.14,168000,42000,0,320,890,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE
